post_type,category,post_month,post_weekday,post_hour,paid,total_interactions,post_ratio_engaged_consumers,post_ratio_imp_reach_log,post_ratio_imp_reach_like_log,post_ratio_engaged_consumption_log
Status,2,12,6,3,0.0,106,1.0403556771545828,1.0378971267800863,1.068503571041331,0.8861751079695315
Status,2,12,5,11,0.0,494,1.1086527064401421,1.010242304320995,1.0319723936186187,1.0724148907178805
Photo,3,12,5,3,0.0,117,1.7096774193548387,1.0071151152826514,1.0332264077756423,0.6405848504690898
Photo,2,12,5,3,0.0,622,1.740608228980322,1.0683112305486173,1.0788307226497185,0.8858813264263601
Video,1,12,4,11,1.0,174,1.0683520599250935,0.9902645494579372,1.1426716675854192,1.408846720867682
Photo,2,12,4,2,0.0,162,1.2581699346405228,1.0649899106402494,1.0986122886681098,1.0421000784047674
Photo,2,12,3,10,0.0,39,1.1228070175438596,1.0080836871981438,1.046377971769778,0.9884338523969456
Photo,3,12,3,3,0.0,204,1.5527426160337552,1.0346123430114444,1.0472175795449112,0.8273779554253547
Photo,3,12,2,9,0.0,125,1.4486486486486487,1.019383521621847,1.0343389140255295,0.8211867163835178
Photo,1,12,2,3,0.0,75,1.146153846153846,1.0641245597669466,1.0878901601692026,1.017544465579328
Photo,2,12,1,11,0.0,199,1.4894366197183098,1.004483443909616,1.013261377605332,0.8603229715459052
Photo,3,12,1,3,0.0,113,1.5,1.0007958729832673,1.0178455204314796,0.7587843441999245
Photo,1,12,7,10,1.0,100,1.1297169811320755,0.8951186824989454,1.059459402671879,1.4459697659689934
Status,2,12,7,9,0.0,269,1.0288350634371395,1.0580889523215755,1.0858388336255111,0.9536916765925603
Photo,1,12,7,3,0.0,59,1.0774647887323943,1.0471590070791938,1.0748544815290022,0.9660443800761128
Status,2,12,6,11,0.0,262,1.0747907949790796,1.0374949501051864,1.0600277886134626,0.9497570684223501
Link,1,12,6,3,1.0,211,1.4125683060109289,0.9317123309172831,1.025612585375405,0.8928199430859037
Photo,1,12,5,10,0.0,36,1.0038480038480038,1.0732051023570637,1.0676996956060836,1.9619828205164294
Link,1,12,5,3,1.0,46,1.2293577981651376,0.9610218998064589,0.9903157044220774,0.9869983040384415
Photo,1,12,4,11,0.0,58,1.1234177215189873,1.084428765231269,1.099987237324153,1.016276002007474
Link,1,12,4,3,1.0,71,1.3037974683544304,0.9686602541495724,1.0744588586804518,0.9616242731756762
Status,1,12,3,11,0.0,214,1.0311778290993072,1.0461837569025234,1.0613821442281415,0.9529048145361779
Link,1,12,3,2,0.0,32,1.1686746987951808,1.0325834801145084,1.0835273292159406,0.9694005571881035
Photo,1,12,2,11,0.0,92,1.1943462897526502,1.0769854946290287,1.0886122053335263,0.9582549309731873
Link,1,12,2,2,0.0,14,1.105263157894737,1.1033752333726623,1.1194781259834043,0.834052633637183
Photo,2,11,1,9,0.0,58,1.6615384615384616,1.0387951146976593,1.0568992948727627,0.8036890549597692
Photo,1,11,1,3,1.0,337,1.5546038543897216,0.9513623845194304,1.0557293635449132,1.0693638595418775
Photo,1,11,7,9,0.0,242,1.9613259668508287,1.0361512520729028,1.0338770913572228,0.7290791897860087
Photo,1,11,7,3,0.0,87,1.3021978021978022,1.0484242143168918,1.0676418578012872,1.0969525372497453
Photo,1,11,6,10,0.0,83,1.2206572769953052,1.0438040521731147,1.0979498176269884,1.245388908042653
Video,1,11,6,2,1.0,81,1.1167883211678833,1.08054061854116,1.175692031210989,0.9102116857977729
Photo,1,11,5,11,0.0,220,1.6813725490196079,1.0298283227013247,1.0297227816962122,0.8127803555044902
Photo,1,11,5,3,0.0,53,1.2595419847328244,1.0661323938002636,1.0760916099519306,0.8092704647979644
Photo,1,11,4,10,0.0,90,1.329479768786127,1.0774174654238557,1.11433053921003,1.0805937831654313
Photo,1,11,4,3,1.0,160,1.3848684210526316,1.41961488558041,1.5410258912842343,1.0479191743525917
Photo,1,11,3,11,1.0,123,1.2447761194029852,1.2683370643942746,1.3747574782407435,1.048253496726051
Photo,1,11,3,2,1.0,162,1.2280701754385965,1.442583796347967,1.6680899276203958,1.322141122206311
Photo,1,11,2,10,1.0,202,1.2262996941896025,0.9734723322380969,1.0612175183388062,1.4128981066378665
Photo,1,11,2,3,1.0,245,1.6149253731343283,1.3886798146612942,1.4957091471057575,0.9985288301111271
Photo,1,11,1,10,0.0,69,1.2747252747252746,1.1710384132303266,1.2026090127746316,0.8860023818093455
Photo,1,11,1,3,0.0,119,1.1946308724832215,1.0315204194353016,1.0636705149846213,1.1906704330860571
Photo,1,11,7,11,0.0,55,1.2628205128205128,1.070614234631458,1.1030738657303112,0.8587668877359684
Photo,1,11,7,3,1.0,787,1.5839195979899499,1.0132457718624204,1.1597837608504702,0.978989326089719
Photo,1,11,6,11,0.0,70,1.255952380952381,1.0277396863854522,1.0531952465345138,0.7799148631411558
Photo,1,11,6,3,0.0,119,1.25,1.0697227230008823,1.0942958702182075,1.051457150750832
Photo,1,11,5,10,1.0,162,1.2782608695652173,1.286254377784881,1.492935657351596,1.1211733240537556
Video,1,11,5,3,1.0,550,1.210951008645533,1.1592898359390542,1.42547942337693,1.2903059852909275
Status,3,11,4,11,0.0,273,1.1877213695395514,1.0320300629990515,1.0458955064957054,0.9392679650111074
Photo,1,11,4,2,1.0,233,1.3277511961722488,1.6142845894018163,1.4302780189777244,0.9696367125794478
Video,1,11,3,11,0.0,114,1.1288209606986899,1.1732106055228841,1.1828846572255747,0.9131538258736606
Photo,1,11,3,2,1.0,505,1.4232673267326732,1.0422782227118739,1.1089750757036563,1.0480941130094168
Photo,1,11,3,2,0.0,0,1.0,1.0810871961127289,1.0810871961127289,0.750305594399894
Photo,1,11,1,10,0.0,97,1.1711229946524064,1.2722135656908016,1.269642931332819,1.1212547654178695
Photo,2,11,1,3,0.0,64,1.2994011976047903,1.071488811577806,1.0696735263345574,0.8629447511688624
Photo,1,11,7,12,0.0,38,1.028125,1.1857198547211172,1.1381431274247449,1.5011000964749923
Status,2,11,7,3,0.0,101,1.0268456375838926,1.1126818053435927,1.1312088255415087,0.8532692427233302
Photo,3,11,6,10,0.0,441,1.81994459833795,1.0497469964679567,1.073047276368195,0.7867566796822527
Photo,1,11,6,3,0.0,252,1.4836601307189543,1.1007197710076744,1.1453170618093018,0.8809183421214646
Photo,3,11,5,10,1.0,122,1.3209876543209877,1.0898378035642722,1.0935489867115629,0.9577904627809077
Status,3,11,5,2,0.0,117,1.8425925925925926,1.0839607470945376,1.1826132101900104,0.6438761315531626
Photo,1,11,4,9,1.0,158,1.3714285714285714,1.11305669765815,1.138769610515174,1.0163741904311376
Link,1,11,4,3,0.0,163,1.4473684210526316,1.2772725947348258,1.2921553702060287,1.0218674403768404
Photo,3,11,3,10,0.0,311,1.7241379310344827,1.0928629914916903,1.1266203430421853,0.7809853455255692
Photo,1,11,3,3,0.0,39,1.1216931216931216,1.0486130332937522,1.0129175675632267,2.351708202064173
Photo,1,11,2,11,1.0,126,1.3215547703180213,1.1188286105968301,1.1536921169815204,0.9869082990881084
Photo,1,11,2,3,0.0,421,1.49822695035461,0.9188763829591778,1.0233984886896563,0.9882421854008516
Photo,2,11,1,9,0.0,91,1.3045454545454545,1.114557787085877,1.142026238892821,0.9117555767087638
Photo,3,11,1,3,0.0,342,1.7244318181818181,1.0872062636977056,1.0910368990136274,0.7719791296318853
Photo,3,11,7,9,0.0,129,1.4351851851851851,1.0664914056005905,1.0474074043517867,0.8066291343169382
Photo,2,11,7,4,0.0,148,1.483568075117371,1.058599182446426,1.0641734780744387,0.7999410946407336
Photo,3,10,6,10,0.0,185,1.5214007782101167,1.0504368222646807,1.0853472646421936,0.8014045202593638
Photo,1,10,6,3,0.0,65,1.1289198606271778,1.1982342997137676,1.038106031058477,2.4841487869248984
Photo,2,10,5,11,0.0,142,1.4587155963302751,1.0491656479796212,1.0744846623533286,0.8164703965919441
Status,2,10,5,3,1.0,378,1.090030518819939,1.0981041925467883,1.1235305930793882,0.9364356410132644
Photo,1,10,4,10,0.0,430,1.4564007421150278,0.9982775049877983,0.9938214113053792,0.9290781879592808
Photo,1,10,4,9,1.0,0,1.0,1.0323528082858775,1.07268379364194,1.0001722158548572
Photo,2,10,4,3,0.0,1626,1.9788838612368025,0.9255832330354827,1.029529407370028,0.8926758249087492
Photo,3,10,3,10,0.0,79,1.1755102040816328,1.0490912905846896,1.0956263204895478,0.9759392677175345
Photo,1,10,3,4,0.0,17,1.0228310502283104,1.0412843402003074,1.0224746316871867,1.8582945424400494
Photo,1,10,2,11,1.0,72,1.1333333333333333,1.121289562468776,1.1425327620913093,1.0363353591465951
Photo,1,10,2,4,0.0,1136,1.2237442922374429,0.9528463390227825,1.1375536338879637,1.4112716442060877
Photo,3,10,1,11,0.0,222,1.3696969696969696,1.0870229816036492,1.1077415655563676,0.910174504856719
Status,2,10,1,4,0.0,238,1.0968992248062015,1.1176498955218477,1.1324350557277596,0.9326696239581949
Photo,3,10,7,9,0.0,148,1.350210970464135,1.0445527007234068,1.0482769883976022,0.8374569705497574
Status,2,10,7,3,0.0,271,1.0365758754863814,1.091958134215436,1.077101915660387,0.9193057204132558
Photo,1,10,6,10,0.0,34,1.0432098765432098,1.158357511233401,1.0183237297333472,1.9517565648576936
Photo,1,10,6,8,0.0,0,1.0,0.9974430536743817,1.0204248690963194,0.9102116857977729
Photo,2,10,6,4,0.0,139,1.3067226890756303,1.049945675350306,1.0477687356868357,0.8623176681294891
Photo,2,10,1,3,1.0,97,1.1751592356687899,1.0394179412313749,1.0633320975720584,0.8776450167764954
Photo,1,10,7,13,0.0,17,1.0393258426966292,1.0031136488952652,1.0132252014089949,0.8180404543988334
Photo,1,10,7,12,1.0,6,1.0125391849529781,1.0745447369390522,1.104351185337128,0.8680004427463741
Photo,1,10,7,12,0.0,458,1.2147651006711409,1.0240329098664687,1.0203523760520905,0.8441440690769765
Photo,1,10,7,11,0.0,7,1.016778523489933,1.0594464436940416,1.090373313123557,0.8168498952366285
Photo,1,10,7,10,0.0,9,1.0178571428571428,1.0586558932963515,1.0900530352724398,0.897308280961865
Photo,1,10,7,10,0.0,8,1.0233463035019454,1.0990362869784684,1.1387067458699878,0.8888917576860407
Photo,1,10,7,9,0.0,2,1.007380073800738,1.0159500952969818,1.0457040678897602,0.8448317678920102
Status,2,10,7,9,0.0,232,1.0297663903541823,1.0747676135602413,1.0918737186949004,0.8725702870549737
Photo,1,10,7,8,0.0,4,1.0118110236220472,1.0190630869154442,1.044868012661419,0.8525506630100632
Photo,1,10,7,7,0.0,6,1.0269058295964126,1.0064306512505146,1.0276981870032644,0.8702193814677562
Photo,1,10,7,6,0.0,7,1.0203252032520325,1.0640483672130334,1.0877129982100742,0.8786233141024153
Photo,1,10,7,5,0.0,9,1.0350877192982457,1.0408454701333696,1.0623297834866863,0.8531118302526234
Photo,3,10,7,3,0.0,242,1.373913043478261,1.0901591529570516,1.0645871352371261,0.826678573184468
Photo,1,10,6,13,0.0,10,1.0272727272727273,1.0755916376777293,1.0922630609894508,0.9080091110424331
Photo,1,10,6,13,0.0,5,1.015625,1.0049544897003524,1.024319165615877,0.8541589507671489
Photo,1,10,6,12,0.0,3,1.0048780487804878,1.0994960713151176,1.122479770074753,0.8919980393051105
Photo,1,10,6,11,0.0,10,1.0298507462686568,1.0432621935849447,1.072266562782994,0.8768881840081262
Photo,1,10,6,9,0.0,10,1.0057937427578216,1.1344037299996488,1.1161504442645742,1.4817219876329064
Photo,1,10,6,9,0.0,10,1.0257731958762886,1.014218533893664,1.0322201988812156,0.8813684594810882
Photo,1,10,6,8,0.0,12,1.0388349514563107,1.112321566593143,1.1391621373164988,0.8621014030269525
Photo,1,10,6,6,0.0,34,1.1145833333333333,1.0359045850762647,1.0592613950286993,0.8449140690319273
Photo,1,10,6,2,0.0,68,1.092783505154639,1.1235031762665662,1.13551170631602,0.9962926307166547
Link,1,10,5,10,0.0,48,1.120879120879121,1.108214410881336,1.152109330316362,0.8964418607341789
Photo,1,10,5,8,0.0,39,1.1111111111111112,1.1777999300219126,1.2089923054400395,0.8558019703935041
Status,2,10,5,3,0.0,154,1.0378681626928472,1.0762569455318285,1.0889743496613014,0.9144314192839718
Photo,1,10,4,10,1.0,100,1.1443850267379678,1.145686474447415,1.1729828313891797,1.0134122719874286
Link,1,10,4,3,0.0,202,1.0584615384615386,1.4655328618893402,1.1698050405463367,1.1372271247958892
Status,3,10,3,10,0.0,265,1.0430680885972108,1.0823102182647113,1.0981906693192658,0.8736013231791044
Status,2,10,3,2,1.0,1009,1.0387596899224807,1.073593098262318,1.0964120270773012,1.134890153410656
Photo,3,10,2,10,1.0,447,1.6227272727272728,1.2111891927186893,1.0691502559377934,0.7976598792954321
Photo,1,10,2,3,1.0,53,1.0082758620689656,1.326516904797653,1.3797788395700885,2.0170445167512354
Photo,1,10,1,10,1.0,96,1.093167701863354,1.122858899534287,1.1404007622229542,1.0722255334949147
Photo,3,10,1,3,0.0,204,1.4929078014184398,1.2470703535020815,0.9866893426751994,0.8820727745638138
Photo,3,10,7,10,0.0,94,1.2469135802469136,1.003753047478317,1.0126028893496521,0.8261843799448572
Status,2,10,7,4,0.0,179,1.0479488545551412,1.073574462614088,1.0826443344121772,0.7885069278876391
Link,1,10,6,11,1.0,35,1.2333333333333334,1.0662924881107083,1.0965834155570127,0.8192586403228106
Photo,1,10,6,4,0.0,367,1.0957834461218117,1.3407421214793387,1.4571593850118756,1.2365621218749665
Photo,2,10,5,11,0.0,200,1.2891891891891891,1.0495477726531879,1.0526969045287515,0.9196748298583955
Photo,2,10,5,4,1.0,454,1.3388704318936877,1.0448356113234902,1.067825098071591,0.9931859857006317
Photo,1,10,4,10,0.0,193,1.1182943603851445,1.2059332594544694,1.206937329195048,1.165132971009672
Photo,2,10,4,1,0.0,387,1.3688073394495412,1.046133577291171,1.0301162667137262,0.9610824900768917
Photo,2,9,3,7,0.0,70,1.0915254237288134,1.022386881931146,1.0586497824410717,1.025693698716555
Photo,2,9,2,11,0.0,163,1.1495098039215685,1.060810518640452,1.0752587634504573,0.9856123164523259
Photo,3,9,2,2,0.0,137,1.2621359223300972,1.040478913527799,1.0649510060949778,0.8920510911102106
Photo,2,9,1,10,0.0,252,1.2220039292730844,1.0530904701227568,1.0577650259895228,0.9353312098725265
Photo,2,9,1,3,1.0,98,1.2013888888888888,1.0664710794563128,1.0888322596144702,0.9112237648263201
Photo,3,9,7,9,0.0,409,1.674778761061947,0.9527862451072846,0.9508985867655376,0.732113149093329
Photo,2,9,7,3,0.0,282,1.337807606263982,1.0358090679726673,1.040189098670846,0.948412923649759
Photo,3,9,6,10,0.0,410,1.252442996742671,1.03490172901849,0.9888111166950974,1.0275958077216312
Status,2,9,6,4,0.0,288,1.0690255220417633,1.0646361500177657,1.0926421216816058,0.8385313671750211
Photo,1,9,5,10,0.0,18,1.0597609561752988,1.061452343754369,1.0851116014492073,0.9752992850022651
Photo,2,9,5,3,1.0,132,1.2083333333333333,1.011144632949448,1.0121010367201622,0.9007865453381898
Photo,1,9,4,10,1.0,84,1.1533333333333333,1.314260537728512,1.376315344947977,1.003387794995537
Photo,3,9,4,2,1.0,557,1.7911646586345382,1.0420885384230583,1.027312005241291,0.70374424193181
Photo,1,9,3,10,0.0,1974,1.3925619834710743,0.9656795843897682,0.9794306263066568,1.0703070121312899
Photo,2,9,3,2,1.0,121,1.1666666666666667,1.0357465240063362,1.0334098009700594,0.9717794174918083
Photo,3,9,2,9,0.0,217,1.330232558139535,1.0276244438506315,1.0488231049347094,0.8919586312146245
Photo,1,9,2,2,0.0,38,1.0778443113772456,1.0517321592333655,1.0758247549417874,1.0057958757421872
Status,2,9,1,10,0.0,228,1.018090029448885,1.0890636460397303,1.1037340597843683,0.8619455655425634
Photo,1,9,1,4,0.0,225,1.2853773584905661,1.010140109600821,1.0096390910839779,0.9732746104138962
Photo,2,9,7,3,0.0,243,1.3094170403587444,1.0448187233802932,1.041858541994943,0.9369573686827142
Status,2,9,6,10,1.0,189,1.035216718266254,1.0549466833531649,1.070028056986915,0.8187748762647366
Photo,3,9,6,3,1.0,1174,1.8343495934959348,0.9805882358058546,1.0001100081016774,0.7881877640830659
Photo,1,9,5,11,0.0,276,1.3615221987315012,1.0096073607397311,0.9968236656743056,0.8627620860847851
Photo,2,9,5,2,0.0,299,1.2987551867219918,1.0607953411395792,1.0543151214442636,0.978548750313001
Photo,2,9,4,10,0.0,194,1.2488372093023257,1.0366141202086936,1.0352866746827276,0.9073399013540705
Status,2,9,4,4,1.0,199,1.0565497494631353,1.081217982185652,1.0845545491778779,0.85446328327009
Photo,1,9,3,10,0.0,114,1.1493624772313298,1.3196431897077245,1.3677658012277765,1.1214517806379325
Photo,3,9,3,2,1.0,271,1.3517241379310345,1.0561751407242694,1.0586237369425782,0.8864933690692104
Video,1,9,2,10,0.0,472,1.0633946830265848,1.0507001349639122,1.1100850118392183,1.2131601225379816
Photo,2,9,2,3,0.0,90,1.1293103448275863,1.0250141857494017,1.0520567623000938,0.9565469097847223
Photo,1,9,1,10,0.0,72,1.1164179104477612,1.027601253024921,1.0529494133375479,0.9736090050382391
Photo,2,9,1,6,0.0,263,1.34320987654321,1.0234776418990432,1.0204926819171076,0.9692131333284976
Photo,2,9,7,10,0.0,67,1.1785714285714286,0.9727590825952378,0.99084173733646,0.9179986742193111
Photo,3,9,7,4,1.0,117,1.24496644295302,0.9981705757018858,1.0070731395905215,0.8591323180342064
Photo,2,9,2,10,0.0,164,1.2274881516587677,1.0072512898205814,1.0031701740393966,0.9781007383585222
Photo,3,9,2,3,1.0,119,1.1945205479452055,0.9919954914380217,1.000595183733527,0.9631743177730056
Photo,3,8,1,10,0.0,818,1.9553956834532373,0.9977919094146569,1.0212312894624664,0.6783320947748046
Photo,2,8,1,4,0.0,70,1.1635802469135803,0.9636897431350303,0.97770269134288,0.9140577573698426
Photo,2,8,7,10,1.0,133,1.17162471395881,0.958985907346468,0.9652971824075751,0.9399665675594396
Photo,1,8,7,3,0.0,490,1.2498124531132784,1.1697624667907929,1.225084285119488,0.9348959197051895
Photo,2,8,6,10,0.0,330,1.3264150943396227,0.9756092914602998,0.947488261060295,0.9717455677893198
Photo,1,8,6,8,0.0,73,1.1114206128133706,1.0043886751453297,1.0191114395827432,0.9967060078783709
Photo,2,8,5,13,0.0,60,1.1027190332326284,0.9658742320629831,0.9831307500000055,0.9951681884269122
Photo,1,8,4,9,1.0,32,1.0690690690690692,1.0319562080794769,1.0506400743108837,1.0144827580533688
Photo,3,8,4,10,0.0,1290,1.9232283464566928,1.0762790288146162,1.1145728081739974,0.7289437811903651
Photo,2,8,4,3,1.0,166,1.2205882352941178,0.9971382096829429,1.0062678926330377,0.9321844271173848
Photo,1,8,3,9,0.0,45,1.0464547677261613,1.0791709704995083,1.1090118151511725,1.0668960752886436
Status,2,8,3,2,1.0,70,1.0185840707964602,1.0073001691896248,1.0218847228125778,0.8965625204136995
Photo,3,8,2,10,0.0,243,1.2463768115942029,1.3418928153781615,1.601813162070639,1.0269621968399671
Photo,3,8,2,3,0.0,132,1.2198142414860682,0.9903136157487361,1.0047574933558459,1.0134296229470239
Photo,1,8,1,12,1.0,42,1.0784883720930232,1.005941523587004,1.0228451936653147,1.0341522882011454
Photo,1,8,1,3,0.0,931,1.420418516169943,1.222019872386171,1.2940671534272803,0.9370787427284708
Photo,2,8,7,10,0.0,162,1.2188940092165899,0.9802934908772928,0.9874755275585386,1.1122295203599404
Photo,3,8,7,3,0.0,66,1.1015873015873017,0.9657782333445227,0.9759188130275623,1.1420116042026653
Photo,2,8,6,10,1.0,98,1.1677018633540373,0.989527869252151,0.9889318663320559,0.997709325865304
Photo,3,8,6,3,1.0,107,1.0805739514348787,1.24542534142292,1.2986396503942728,1.163072289135074
Photo,3,8,5,10,0.0,287,1.5829145728643217,0.9655820235910325,1.0075991428490816,0.7493534400789705
Photo,2,8,5,1,0.0,50,1.074766355140187,0.9987508796290818,1.0126932110770888,1.0203114382543517
Photo,3,8,4,11,1.0,15,1.0335820895522387,0.9495293733498888,0.9633970858430553,1.062310661991895
Photo,3,8,4,3,1.0,470,1.8308026030368763,0.9946301089317546,1.0239417024904585,0.7127408744603466
Photo,1,8,3,10,0.0,126,1.0716448032290615,1.1761588086635948,1.26463910186359,1.29842266330045
Photo,2,8,3,4,0.0,28,1.0341880341880343,1.0114641969335818,1.0237288942581366,1.058695681262667
Status,2,8,2,12,0.0,57,1.062937062937063,1.0305301820885913,1.03565349677758,0.8399068437408145
Photo,1,8,2,7,0.0,100,1.0288035450516986,1.0585724607892173,1.0697405509816076,1.282779487346352
Photo,3,8,1,12,0.0,271,1.2167721518987342,1.0000481838544422,1.0033409762676415,1.0368097473494131
Photo,2,8,1,4,0.0,96,1.1787878787878787,1.0010949504713094,1.0194578598110053,0.971376110367971
Photo,3,8,7,10,0.0,212,1.271461716937355,0.9838023959064407,0.975663005374124,0.9879732498498194
Status,2,8,7,4,0.0,86,1.0461699895068206,1.0049754457460778,1.012835327339487,0.8183410884849578
Status,2,8,6,10,1.0,404,1.0388409371146732,1.0225393893124048,1.0243919093140774,1.0366206126401418
Photo,1,8,6,6,0.0,103,1.1069182389937107,1.0297043464775701,1.0458587357064162,1.148043200649826
Status,2,7,5,14,0.0,121,1.0165408126573174,0.9753142695379828,0.9792203330400668,0.872935426181695
Photo,3,7,5,8,1.0,217,1.3830409356725146,1.052761561103043,1.061386794341013,0.8994836135577738
Photo,1,7,4,10,1.0,126,1.2156521739130435,1.292811453241329,1.516426143038846,1.1362637948717982
Photo,2,7,4,3,0.0,456,1.4686971235194586,0.9061749798922838,0.9465751577303044,0.9107368761913579
Photo,2,7,3,13,0.0,130,1.1871657754010696,0.9656243447825749,0.9721377448932678,0.8871341475826995
Photo,3,7,2,23,0.0,135,1.207977207977208,1.0268820504391656,1.0375440866363315,0.9107709386505571
Photo,3,7,2,13,0.0,114,1.1986531986531987,0.9943599029367273,0.994994751262095,0.9400659973678133
Status,2,7,2,6,1.0,21,1.0714285714285714,1.0649464560800763,1.074636868756533,0.7949298748698875
Photo,1,7,1,11,0.0,54,1.1072664359861593,0.8989815091390437,0.932913706252955,1.066572934923493
Photo,2,7,1,5,0.0,120,1.1661442006269593,0.9790171587597088,0.9730185318077826,1.1210585943203766
Status,2,7,7,10,0.0,17,1.0756302521008403,1.0151129423243446,1.0236107048068888,0.7212051333551027
Photo,3,7,7,4,0.0,294,1.1660280970625798,1.0343839488258284,1.026890975276472,1.0638506862919874
Photo,2,7,6,10,0.0,139,1.1977401129943503,1.0142785599805293,1.0116009116784799,0.9988694295694608
Photo,1,7,6,2,0.0,128,1.1417721518987343,1.037482712748662,1.0568151599896483,0.9672932863265278
Photo,2,7,5,11,1.0,186,1.1995073891625616,1.0144377930136796,1.0071517313049816,1.1107449619935266
Photo,3,7,5,3,0.0,624,1.7162162162162162,1.015544901305749,1.031438244225857,0.7888175692893392
Photo,1,7,4,11,0.0,144,1.1652173913043478,1.0069816216885032,1.014061893426987,0.987524082266959
Status,2,7,4,6,0.0,572,1.051062091503268,1.077127371539527,1.0911836344712433,1.4251616906210607
Video,1,7,3,11,1.0,409,1.0130821559392988,1.0465133463564622,1.0678817475770694,1.4594115682495354
Photo,2,7,3,5,1.0,6334,2.0129675810473815,1.0182138304198463,1.1357458974089458,1.0586192628829179
Photo,1,7,2,13,0.0,188,1.1311827956989247,0.9174415627571215,0.9657300359560279,1.3377277855483716
Photo,2,7,2,8,0.0,88,1.0934393638170974,1.029892102763978,1.0586069540544105,1.181746188911319
Photo,2,7,1,12,0.0,115,1.1224066390041494,1.0576096419930863,1.076390809102536,1.1391794736571097
Photo,3,7,1,6,0.0,118,1.115234375,0.9785512640044499,0.9974342723855518,1.1181387110184648
Photo,2,7,7,11,1.0,68,1.0788288288288288,0.9826051540280353,0.9996641187855719,1.1147416705979933
Photo,1,7,7,6,1.0,85,1.0912280701754387,0.936334739869097,0.9474249251798847,1.123538375030886
Photo,1,7,6,11,0.0,234,1.1851351351351351,0.9605462550115944,1.0938333852652349,1.0812932532108985
Photo,3,7,6,5,0.0,274,1.1702786377708978,1.015715297239806,1.0019400379137178,1.0992580749353058
Status,2,7,5,12,1.0,300,1.0386764073914911,1.0175364760478969,1.015217309940769,0.9875359136545417
Photo,3,7,5,3,0.0,823,1.6822429906542056,0.9209026110190633,1.0076300262489872,0.8970693071925572
Photo,2,7,4,12,1.0,85,1.048780487804878,0.9970021122573273,0.9817054468818536,1.0876923985540874
Photo,1,7,4,6,1.0,160,1.1207792207792209,0.949375751682619,1.0466381818180888,1.0637047304573077
Photo,1,7,3,13,1.0,118,1.0578947368421052,0.9628400464199194,1.0544349871885277,1.2475517447004507
Photo,2,7,3,1,0.0,203,1.1474036850921272,1.0445713966983976,1.0624250895601637,1.118077623456213
Photo,3,7,2,13,0.0,202,1.125,1.0266451865249715,1.0216796360573412,1.166006206402085
Photo,2,7,2,7,1.0,143,1.098746081504702,1.0506874495757679,1.056437363617397,1.16857087727502
